"","condition","icnarcCode","surgicalCode","medicalCode","tailCode","duplicateCode","system","site","process","conditionTier","admission_freq"
"193","Bone marrow transplant","HA6","1.9.2.37.1","2.9.2.37.1","9.2.37.1",0,"Haematological/Immunological",2,"Transplant or related",1,NA
"194","Extracranial or neck arterio-venous malformation or haemangioma","CA13","1.2.9.8.1","2.2.9.8.1","2.9.8.1",1,"Cardiovascular",9,"Congenital or acquired deformity or abnormality",1,NA
"195","Spinal injection or infusion","RE107","1.1.6.12.2","2.1.6.12.2","1.6.12.2",1,"Respiratory",6,"Epidural or spinal drug administration",2,NA
"196","Chronic renal failure","GE17","1.7.1.13.5","2.7.1.13.5","7.1.13.5",0,"Genito-urinary",1,"Failure",5,NA
"197","Tracheo-oesophageal fistula","GA129","1.1.1.8.2","2.1.1.8.2","1.1.8.2",0,"Respiratory",1,"Congenital or acquired deformity or abnormality",2,NA
"198","Self poisoning with non-cyclic antidepressants","EN92","1.6.8.34.4","2.6.8.34.4","6.8.34.4",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",4,NA
"199","Pre-eclampsia","GE40","1.2.12.19.5","2.2.12.19.5","2.12.19.5",1,"Cardiovascular",12,"Hypertension",5,NA
"200","Tuberculous peritonitis","GA134","1.3.10.27.8","2.3.10.27.8","3.10.27.8",0,"Gastrointestinal",10,"Infection",8,NA
"201","Inguinal or femoral hernia","GA56","1.3.10.8.4","2.3.10.8.4","3.10.8.4",0,"Gastrointestinal",10,"Congenital or acquired deformity or abnormality",4,NA
"202","Trisomy 13 (Patau or trisomy D)","EN80","1.8.11.53.3","2.8.11.53.3","8.11.53.3",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",11,"Trisomy",3,NA
"203","Secondary intracranial tumour","NE32","1.1.10.39.2","2.1.10.39.2","1.10.39.2",1,"Respiratory",10,"Tumour or malignancy",2,NA
"204","Insulinoma","EN43","1.8.4.39.1","2.8.4.39.1","8.4.39.1",2,"Endocrine, Metabolic, Thermoregulation and Poisoning",4,"Tumour or malignancy",1,NA
"205","Tubo-ovarian abscess","GE53","1.7.3.27.4","2.7.3.27.4","7.3.27.4",0,"Genito-urinary",3,"Infection",4,NA
"206","Haemophilia or von Willebrand's disease","HA16","1.9.1.8.7","2.9.1.8.7","9.1.8.7",0,"Haematological/Immunological",1,"Congenital or acquired deformity or abnormality",7,NA
"207","Ovarian hyperstimulation","EN55","1.7.3.32.1","2.7.3.32.1","7.3.32.1",2,"Genito-urinary",3,"Over-activity",1,NA
"208","Porphyria","HA27","1.4.4.28.4","2.4.4.28.4","4.4.28.4",1,"Neurological (including eyes)",4,"Inflammation",4,NA
"209","Large bowel herniation","GA69","1.3.6.30.1","2.3.6.30.1","3.6.30.1",0,"Gastrointestinal",6,"Obstruction",1,NA
"210","Autotransplant of kidney","GE12","1.7.1.37.2","2.7.1.37.2","7.1.37.2",0,"Genito-urinary",1,"Transplant or related",2,NA
"211","Fournier's gangrene of abdominal wall","GA137","1.3.10.27.4","2.3.10.27.4","3.10.27.4",0,"Gastrointestinal",10,"Infection",4,NA
"212","Large bowel infarction due to primary vascular disease","GA71","1.3.6.41.3","2.3.6.41.3","3.6.41.3",0,"Gastrointestinal",6,"Vascular",3,NA
"213","Alcohol overdose","EN100","1.8.8.3.1","2.8.8.3.1","8.8.3.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Alcohol related disorders",1,NA
"214","Meconium ileus","GA82","1.3.4.30.3","2.3.4.30.3","3.4.30.3",0,"Gastrointestinal",4,"Obstruction",3,NA
"215","Infected intravenous catheter in the great veins","CA58","1.2.11.27.2","2.2.11.27.2","2.11.27.2",0,"Cardiovascular",11,"Infection",2,NA
"216","Pulmonary contusion","RE100","1.1.4.38.1","2.1.4.38.1","1.4.38.1",0,"Respiratory",4,"Trauma",1,NA
"217","Drug induced thrombocytopaenia","HA12","1.9.1.14.5","2.9.1.14.5","9.1.14.5",0,"Haematological/Immunological",1,"Haemolysis or thrombocytopaenia",5,NA
"218","Lown-Ganong-Levine syndrome","CA78","1.2.5.8.2","2.2.5.8.2","2.5.8.2",0,"Cardiovascular",5,"Congenital or acquired deformity or abnormality",2,NA
"219","Myositis","MU8","1.10.3.27.1","2.10.3.27.1","10.3.27.1",0,"Musculoskeletal",3,"Infection",1,NA
"220","Infected retained products of conception","GE25","1.7.4.27.3","2.7.4.27.3","7.4.27.3",0,"Genito-urinary",4,"Infection",3,NA
"221","Large bowel volvulus","GA75","1.3.6.30.2","2.3.6.30.2","3.6.30.2",0,"Gastrointestinal",6,"Obstruction",2,NA
"222","Cholelithiasis","GA18","1.3.7.8.2","2.3.7.8.2","3.7.8.2",1,"Gastrointestinal",7,"Congenital or acquired deformity or abnormality",2,NA
"223","Superior vena caval damage","CA92","1.2.11.38.1","2.2.11.38.1","2.11.38.1",0,"Cardiovascular",11,"Trauma",1,NA
"224","Leprosy","DE19","1.4.4.27.2","2.4.4.27.2","4.4.27.2",1,"Neurological (including eyes)",4,"Infection",2,NA
"225","Toxic myocarditis","CA106","1.2.2.8.10","2.2.2.8.10","2.2.8.10",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",10,NA
"226","Entero-enteric or entero-cutaneous fistula","GA101","1.3.5.38.5","2.3.5.38.5","3.5.38.5",0,"Gastrointestinal",5,"Trauma",5,NA
"227","Hepatic abscess","GA41","1.3.7.27.4","2.3.7.27.4","3.7.27.4",0,"Gastrointestinal",7,"Infection",4,NA
"228","Pituitary tumour not defined","EN54","1.8.2.39.4","2.8.2.39.4","8.2.39.4",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",2,"Tumour or malignancy",4,NA
"229","Thyroid cysts","EN69","1.8.1.8.1","2.8.1.8.1","8.1.8.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",1,"Congenital or acquired deformity or abnormality",1,NA
"230","Bronchial haemorrhage","RE14","1.1.2.15.1","2.1.2.15.1","1.2.15.1",0,"Respiratory",2,"Haemorrhage",1,NA
"231","Alkali ingestion","EN9","1.8.8.4.2","2.8.8.4.2","8.8.4.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Alkalaemia",2,NA
"232","Instrumental damage to duodenum","GA138","1.3.4.38.3","2.3.4.38.3","3.4.38.3",0,"Gastrointestinal",4,"Trauma",3,NA
"233","Haemorrhage from uterus","GE24","1.7.3.15.1","2.7.3.15.1","7.3.15.1",0,"Genito-urinary",3,"Haemorrhage",1,NA
"234","Biliary tree tumour","GA11","1.3.7.39.3","2.3.7.39.3","3.7.39.3",0,"Gastrointestinal",7,"Tumour or malignancy",3,NA
"235","Myeloma","HA24","1.9.2.39.7","2.9.2.39.7","9.2.39.7",0,"Haematological/Immunological",2,"Tumour or malignancy",7,NA
"236","Embolic brain lesions causing respiratory failure","NE46","1.1.10.41.6","2.1.10.41.6","1.10.41.6",1,"Respiratory",10,"Vascular",6,NA
"237","Accidental poisoning with alcohol","EN7","1.6.8.1.10","2.6.8.1.10","6.8.1.10",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",10,NA
"238","Diabetes insipidus (central)","EN18","1.8.2.40.1","2.8.2.40.1","8.2.40.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",2,"Under-activity",1,NA
"239","Mandible, facial bones, dental or salivary infection","RE71","1.1.1.27.1","2.1.1.27.1","1.1.27.1",1,"Respiratory",1,"Infection",1,NA
"240","Hepatic artery stenosis or occlusion","CA48","1.2.8.30.5","2.2.8.30.5","2.8.30.5",0,"Cardiovascular",8,"Obstruction",5,NA
"241","Chelating agent toxicity","EN14","1.8.8.21.2","2.8.8.21.2","8.8.21.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypocalcaemia",2,NA
"242","Transverse myelitis","NE62","1.4.3.9.2","2.4.3.9.2","4.3.9.2",0,"Neurological (including eyes)",3,"Degeneration",2,NA
"243","Pulmonary tumour embolus","RE109","1.1.3.30.4","2.1.3.30.4","1.3.30.4",1,"Respiratory",3,"Obstruction",4,NA
"244","Diabetes insipidus (central or nephrogenic)","EN101","1.8.8.18.1","2.8.8.18.1","8.8.18.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypernatraemia",1,NA
"245","Renal failure","GE66","1.8.8.17.2","2.8.8.17.2","8.8.17.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hyperkalaemia",2,NA
"246","Compartment syndrome","MU27","1.5.6.3.2","2.5.6.3.2","5.6.3.2",3,"Musculoskeletal",3,"Trauma",2,NA
"247","Psoriasis and pustular psoriasis","DE11","1.11.1.28.3","2.11.1.28.3","11.1.28.3",0,"Dermatological",1,"Inflammation",3,NA
"248","Haemopericardium or tamponade post surgery","CA132","1.2.2.38.6","2.2.2.38.6","2.2.38.6",1,"Cardiovascular",2,"Trauma",6,NA
"249","Obstructive sleep apnoea","RE81","1.1.1.30.12","2.1.1.30.12","1.1.30.12",0,"Respiratory",1,"Obstruction",12,NA
"250","Congenital ventricular septal defect","CA31","1.2.2.8.3","2.2.2.8.3","2.2.8.3",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",3,NA
"251","Basal cell carcinoma of skin","DE1","1.11.1.39.2","2.11.1.39.2","11.1.39.2",0,"Dermatological",1,"Tumour or malignancy",2,NA
"252","Extrinsic compression of cord by non-neural tumour","NE16","1.4.3.39.2","2.4.3.39.2","4.3.39.2",0,"Neurological (including eyes)",3,"Tumour or malignancy",2,NA
"253","Ventricular ectopics","CA123","1.2.5.32.4","2.2.5.32.4","2.5.32.4",0,"Cardiovascular",5,"Over-activity",4,NA
"254","Systemic sclerosis","MU25","1.10.3.28.6","2.10.3.28.6","10.3.28.6",0,"Musculoskeletal",3,"Inflammation",6,NA
"255","Toxic dilatation of large bowel","GA128","1.3.6.28.3","2.3.6.28.3","3.6.28.3",0,"Gastrointestinal",6,"Inflammation",3,NA
"256","Visceral artery embolism","CA126","1.2.8.30.9","2.2.8.30.9","2.8.30.9",1,"Cardiovascular",8,"Obstruction",9,NA
"257","Spina bifida or meningomyelcoele","NE33","1.4.3.8.3","2.4.3.8.3","4.3.8.3",1,"Neurological (including eyes)",3,"Congenital or acquired deformity or abnormality",3,NA
"258","Accidental poisoning with industrial or agricultural chemicals","EN89","1.6.8.1.8","2.6.8.1.8","6.8.1.8",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",8,NA
"259","Inborn errors of adrenal function","EN39","1.8.3.8.1","2.8.3.8.1","8.3.8.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",3,"Congenital or acquired deformity or abnormality",1,NA
"260","Essential hypertension","CA40","1.2.12.19.2","2.2.12.19.2","2.12.19.2",0,"Cardiovascular",12,"Hypertension",2,NA
"261","Epiglottitis","RE40","1.1.1.27.3","2.1.1.27.3","1.1.27.3",1,"Respiratory",1,"Infection",3,NA
"262","Tonsil or pharyngeal infection","GA114","1.1.1.27.2","2.1.1.27.2","1.1.27.2",1,"Respiratory",1,"Infection",2,NA
"263","Infective arthritis","MU5","1.10.2.27.2","2.10.2.27.2","10.2.27.2",1,"Musculoskeletal",2,"Infection",2,NA
"264","Traumatic duodenal rupture","GA146","1.3.4.38.2","2.3.4.38.2","3.4.38.2",0,"Gastrointestinal",4,"Trauma",2,NA
"265","Rejection of lung transplant","RE102","1.1.4.37.2","2.1.4.37.2","1.4.37.2",0,"Respiratory",4,"Transplant or related",2,NA
"266","Abnormality of mitral valve","CA3","1.2.4.8.2","2.2.4.8.2","2.4.8.2",0,"Cardiovascular",4,"Congenital or acquired deformity or abnormality",2,NA
"267","Chronic myelogenous leukaemia","HA8","1.9.2.39.4","2.9.2.39.4","9.2.39.4",0,"Haematological/Immunological",2,"Tumour or malignancy",4,NA
"268","Traumatic perforation or rupture of bladder","GE72","1.5.5.2.1","2.5.5.2.1","5.5.2.1",1,"Genito-urinary",2,"Trauma",1,NA
"269","Motor neurone disease","NE24","1.1.6.9.1","2.1.6.9.1","1.6.9.1",2,"Respiratory",6,"Degeneration",1,NA
"270","Large bowel infarction due to herniation,  volvulus or adhesions","GA70","1.3.6.41.4","2.3.6.41.4","3.6.41.4",0,"Gastrointestinal",6,"Vascular",4,NA
"271","Infected thoracic aortic prosthesis","CA59","1.2.6.27.1","2.2.6.27.1","2.6.27.1",0,"Cardiovascular",6,"Infection",1,NA
"272","Hyperthyroidism","EN32","1.8.1.32.1","2.8.1.32.1","8.1.32.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",1,"Over-activity",1,NA
"273","Autoimmume haemolysis","HA5","1.9.1.14.1","2.9.1.14.1","9.1.14.1",0,"Haematological/Immunological",1,"Haemolysis or thrombocytopaenia",1,NA
"274","Discitis","MU3","1.10.1.27.1","2.10.1.27.1","10.1.27.1",0,"Musculoskeletal",1,"Infection",1,NA
"275","Carotid or vertebral artery aneurysm or dissection","NE6","1.2.9.11.1","2.2.9.11.1","2.9.11.1",1,"Cardiovascular",9,"Dissection or aneurysm",1,NA
"276","Spherocytosis or stomatocytosis","HA31","1.9.1.8.5","2.9.1.8.5","9.1.8.5",0,"Haematological/Immunological",1,"Congenital or acquired deformity or abnormality",5,NA
"277","Large bowel intussusception or prolapse","GA73","1.3.6.30.4","2.3.6.30.4","3.6.30.4",0,"Gastrointestinal",6,"Obstruction",4,NA
"278","Stevens-Johnson syndrome","DE14","1.11.1.28.6","2.11.1.28.6","11.1.28.6",0,"Dermatological",1,"Inflammation",6,NA
"279","Pulmonary embolus (thrombus)","CA94","1.1.3.30.1","2.1.3.30.1","1.3.30.1",1,"Respiratory",3,"Obstruction",1,NA
"280","Eclampsia","GE60","1.1.10.33.2","2.1.10.33.2","1.10.33.2",1,"Respiratory",10,"Seizures",2,NA
"281","Instrumental damage to heart valves","CA66","1.2.4.38.5","2.2.4.38.5","2.4.38.5",0,"Cardiovascular",4,"Trauma",5,NA
"282","Atrial septal defect","CA15","1.2.2.8.2","2.2.2.8.2","2.2.8.2",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",2,NA
"283","Renal artery stenosis or occlusion","GE65","1.2.8.30.1","2.2.8.30.1","2.8.30.1",1,"Cardiovascular",8,"Obstruction",1,NA
"284","Cushing's syndrome","EN16","1.8.2.32.1","2.8.2.32.1","8.2.32.1",2,"Endocrine, Metabolic, Thermoregulation and Poisoning",2,"Over-activity",1,NA
"285","Superior vena caval obstruction or thrombosis","CA101","1.2.11.30.1","2.2.11.30.1","2.11.30.1",0,"Cardiovascular",11,"Obstruction",1,NA
"286","Tetralogy of Fallot","CA104","1.2.2.8.6","2.2.2.8.6","2.2.8.6",1,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",6,NA
"287","Other sex chromosome disorders","EN75","1.8.11.46.3","2.8.11.46.3","8.11.46.3",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",11,"Sex chromosome disorders",3,NA
"288","Single ventricle","CA100","1.2.2.8.12","2.2.2.8.12","2.2.8.12",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",12,NA
"289","Small bowel infarction due to herniation,  volvulus or adhesions","GA120","1.2.8.30.11","2.2.8.30.11","2.8.30.11",1,"Cardiovascular",8,"Obstruction",11,NA
"290","Retroperitoneal abscess or infection","GA113","1.3.10.27.7","2.3.10.27.7","3.10.27.7",0,"Gastrointestinal",10,"Infection",7,NA
"291","Infected intravenous catheter in the peripheral veins","CA140","1.2.12.27.2","2.2.12.27.2","2.12.27.2",0,"Cardiovascular",12,"Infection",2,NA
"292","Abnormality of aortic valve","CA2","1.2.4.8.1","2.2.4.8.1","2.4.8.1",0,"Cardiovascular",4,"Congenital or acquired deformity or abnormality",1,NA
"293","Congenital abnormality of skull","NE43","1.1.10.8.4","2.1.10.8.4","1.10.8.4",1,"Respiratory",10,"Congenital or acquired deformity or abnormality",4,NA
"294","Secondary hydrocephalus","NE56","1.1.10.8.2","2.1.10.8.2","1.10.8.2",1,"Respiratory",10,"Congenital or acquired deformity or abnormality",2,NA
"295","Lumbar plexus injury","NE20","1.4.4.38.2","2.4.4.38.2","4.4.38.2",1,"Neurological (including eyes)",4,"Trauma",2,NA
"296","Traumatic aorto-caval fistula","CA96","1.2.7.11.4","2.2.7.11.4","2.7.11.4",1,"Cardiovascular",7,"Dissection or aneurysm",4,NA
"297","Gastric fluid loss","EN26","1.8.8.4.1","2.8.8.4.1","8.8.4.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Alkalaemia",1,NA
"298","Vulval or vaginal tumour","GE59","1.7.3.39.3","2.7.3.39.3","7.3.39.3",0,"Genito-urinary",3,"Tumour or malignancy",3,NA
"299","Sarcoidosis","RE103","1.1.4.31.2","2.1.4.31.2","1.4.31.2",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",2,NA
"300","Primary tumour in vertebral column","MU16","1.10.1.39.1","2.10.1.39.1","10.1.39.1",0,"Musculoskeletal",1,"Tumour or malignancy",1,NA
"301","Tetanus","NE36","1.1.6.27.3","2.1.6.27.3","1.6.27.3",1,"Respiratory",6,"Infection",3,NA
"302","Haemopericardium from instrumental myocardial perforation","CA42","1.2.3.15.1","2.2.3.15.1","2.3.15.1",0,"Cardiovascular",3,"Haemorrhage",1,NA
"303","Paraneoplastic hypercalcaemia","EN58","1.8.8.42.1","2.8.8.42.1","8.8.42.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypercalcaemia",1,NA
"304","Anomalous coronary artery","CA10","1.2.1.8.2","2.2.1.8.2","2.1.8.2",0,"Cardiovascular",1,"Congenital or acquired deformity or abnormality",2,NA
"305","Brachial plexus injury","NE39","1.4.4.38.1","2.4.4.38.1","4.4.38.1",1,"Neurological (including eyes)",4,"Trauma",1,NA
"306","Vascular lesion of eyes","NE61","1.4.1.41.7","2.4.1.41.7","4.1.41.7",0,"Neurological (including eyes)",1,"Vascular",7,NA
"307","Laryngomalacia","RE64","1.1.1.8.3","2.1.1.8.3","1.1.8.3",0,"Respiratory",1,"Congenital or acquired deformity or abnormality",3,NA
"308","Lower limb embolus","CA77","1.2.10.30.4","2.2.10.30.4","2.10.30.4",0,"Cardiovascular",10,"Obstruction",4,NA
"309","Hyperosmolar states","EN74","1.8.8.16.2","2.8.8.16.2","8.8.16.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hyperglycaemia",2,NA
"310","Myocardial ischaemia without angina","CA82","1.2.1.30.7","2.2.1.30.7","2.1.30.7",0,"Cardiovascular",1,"Obstruction",7,NA
"311","Orbital cellulitis","DE9","1.4.1.27.3","2.4.1.27.3","4.1.27.3",2,"Neurological (including eyes)",1,"Infection",3,NA
"312","Snake bite","EN67","1.8.8.44.1","2.8.8.44.1","8.8.44.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Envenomation",1,NA
"313","Congenital hydrocephalus","NE44","1.1.10.8.1","2.1.10.8.1","1.10.8.1",1,"Respiratory",10,"Congenital or acquired deformity or abnormality",1,NA
"314","Traumatic broncho-pleural fistula","RE37","1.1.5.38.3","2.1.5.38.3","1.5.38.3",0,"Respiratory",5,"Trauma",3,NA
"315","Endocarditis of aortic valve","CA36","1.2.4.27.1","2.2.4.27.1","2.4.27.1",0,"Cardiovascular",4,"Infection",1,NA
"316","Accidental poisoning with cardiovascular drugs","EN13","1.6.8.1.5","2.6.8.1.5","6.8.1.5",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",5,NA
"317","Sickle cell disease","HA30","1.9.1.8.4","2.9.1.8.4","9.1.8.4",0,"Haematological/Immunological",1,"Congenital or acquired deformity or abnormality",4,NA
"318","Pulmonary haemorrhage due to contusion","RE29","1.1.3.15.4","2.1.3.15.4","1.3.15.4",2,"Respiratory",3,"Haemorrhage",4,NA
"319","Cerebral palsy","NE8","1.4.2.8.4","2.4.2.8.4","4.2.8.4",0,"Neurological (including eyes)",2,"Congenital or acquired deformity or abnormality",4,NA
"320","Large bowel artery embolization","GA66","1.3.6.41.2","2.3.6.41.2","3.6.41.2",0,"Gastrointestinal",6,"Vascular",2,NA
"321","Thyroid crisis","EN68","1.8.1.32.2","2.8.1.32.2","8.1.32.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",1,"Over-activity",2,NA
"322","Duodenal perforation due to ulcers","GA28","1.3.4.38.4","2.3.4.38.4","3.4.38.4",0,"Gastrointestinal",4,"Trauma",4,NA
"323","Aplastic anaemia","HA4","1.9.2.25.1","2.9.2.25.1","9.2.25.1",0,"Haematological/Immunological",2,"Hypoplasia or dysplasia",1,NA
"324","Osteomyelitis","MU11","1.10.2.27.1","2.10.2.27.1","10.2.27.1",0,"Musculoskeletal",2,"Infection",1,NA
"325","Intracranial arterio-venous malformation","NE1","1.1.10.41.2","2.1.10.41.2","1.10.41.2",1,"Respiratory",10,"Vascular",2,NA
"326","Carcinoid tumour","GA17","1.3.7.39.4","2.3.7.39.4","3.7.39.4",0,"Gastrointestinal",7,"Tumour or malignancy",4,NA
"327","Duodenal or ampullary tumour","GA27","1.3.4.39.1","2.3.4.39.1","3.4.39.1",0,"Gastrointestinal",4,"Tumour or malignancy",1,NA
"328","Paraneoplastic hypokalaemia","EN59","1.8.8.23.1","2.8.8.23.1","8.8.23.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypokalaemia",1,NA
"329","Non-cardiogenic pulmonary oedema (ARDS)","RE78","1.1.4.31.10","2.1.4.31.10","1.4.31.10",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",10,NA
"330","Renal hypokalaemia","GE67","1.8.8.23.3","2.8.8.23.3","8.8.23.3",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypokalaemia",3,NA
"331","Hypopituitarism","EN35","1.8.2.40.2","2.8.2.40.2","8.2.40.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",2,"Under-activity",2,NA
"332","Chronic degeneration of aortic valve","CA24","1.2.4.9.1","2.2.4.9.1","2.4.9.1",0,"Cardiovascular",4,"Degeneration",1,NA
"333","Thalassaemia","HA32","1.9.1.8.6","2.9.1.8.6","9.1.8.6",0,"Haematological/Immunological",1,"Congenital or acquired deformity or abnormality",6,NA
"334","Lymphangitis carcinomatosis","RE70","1.1.4.31.14","2.1.4.31.14","1.4.31.14",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",14,NA
"335","Extrinsic compression of airway by thyroid or lymphoid tissue","RE45","1.1.1.30.3","2.1.1.30.3","1.1.30.3",0,"Respiratory",1,"Obstruction",3,NA
"336","Ocular trauma","NE51","1.4.1.38.2","2.4.1.38.2","4.1.38.2",1,"Neurological (including eyes)",1,"Trauma",2,NA
"337","Renal agenesis or hypoplasia","GE43","1.7.1.8.2","2.7.1.8.2","7.1.8.2",0,"Genito-urinary",1,"Congenital or acquired deformity or abnormality",2,NA
"338","Exacerbation of bronchiectasis","RE41","1.1.2.27.3","2.1.2.27.3","1.2.27.3",0,"Respiratory",2,"Infection",3,NA
"339","Trauma to aortic valve","CA109","1.2.4.38.1","2.2.4.38.1","2.4.38.1",0,"Cardiovascular",4,"Trauma",1,NA
"340","Systemic lupus erythromatosis","MU24","1.10.3.28.2","2.10.3.28.2","10.3.28.2",0,"Musculoskeletal",3,"Inflammation",2,NA
"341","Haemopericardium from coronary artery damage","CA41","1.2.3.15.4","2.2.3.15.4","2.3.15.4",0,"Cardiovascular",3,"Haemorrhage",4,NA
"342","HELLP syndrome","HA28","1.2.12.19.4","2.2.12.19.4","2.12.19.4",2,"Cardiovascular",12,"Hypertension",4,NA
"343","Trisomy 21 (Down's syndrome)","EN82","1.8.11.53.2","2.8.11.53.2","8.11.53.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",11,"Trisomy",2,NA
"344","Hepatic vein occlusion or thrombosis","CA49","1.2.8.30.7","2.2.8.30.7","2.8.30.7",1,"Cardiovascular",8,"Obstruction",7,NA
"345","Amputation of limb","MU35","1.5.6.3.6","2.5.6.3.6","5.6.3.6",1,"Musculoskeletal",3,"Trauma",6,NA
"346","Traumatic damage to renal vessels","GE69","1.2.8.38.1","2.2.8.38.1","2.8.38.1",4,"Cardiovascular",8,"Trauma",1,NA
"347","Hypoplastic left or right ventricle","CA51","1.2.2.8.16","2.2.2.8.16","2.2.8.16",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",16,NA
"348","Angio-neurotic oedema due to drug or treatment reaction","RE5","1.1.1.28.2","2.1.1.28.2","1.1.28.2",1,"Respiratory",1,"Inflammation",2,NA
"349","Pleural effusion","RE91","1.1.5.8.4","2.1.5.8.4","1.5.8.4",0,"Respiratory",5,"Congenital or acquired deformity or abnormality",4,NA
"350","Familial periodic paralysis","EN25","1.8.8.17.3","2.8.8.17.3","8.8.17.3",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hyperkalaemia",3,NA
"351","Infected thrombophlebitis of the peripheral veins","CA141","1.2.12.27.1","2.2.12.27.1","2.12.27.1",0,"Cardiovascular",12,"Infection",1,NA
"352","Patent ductus arteriosus","RE88","1.1.3.8.4","2.1.3.8.4","1.3.8.4",2,"Respiratory",3,"Congenital or acquired deformity or abnormality",4,NA
"353","Endocarditis of mitral valve","CA37","1.2.4.27.2","2.2.4.27.2","2.4.27.2",0,"Cardiovascular",4,"Infection",2,NA
"354","Haemorrhage from bladder","GE21","1.7.2.15.2","2.7.2.15.2","7.2.15.2",0,"Genito-urinary",2,"Haemorrhage",2,NA
"355","Lung transplant","RE69","1.1.4.37.1","2.1.4.37.1","1.4.37.1",0,"Respiratory",4,"Transplant or related",1,NA
"356","Bronchiolitis","RE16","1.1.2.27.4","2.1.2.27.4","1.2.27.4",0,"Respiratory",2,"Infection",4,NA
"357","Colo-vascular fistula","GA20","1.3.6.15.2","2.3.6.15.2","3.6.15.2",0,"Gastrointestinal",6,"Haemorrhage",2,NA
"358","Left ventricular outflow tract obstruction","CA74","1.2.2.8.14","2.2.2.8.14","2.2.8.14",0,"Cardiovascular",2,"Congenital or acquired deformity or abnormality",14,NA
"359","Iliac or saddle embolus","CA54","1.2.7.30.2","2.2.7.30.2","2.7.30.2",0,"Cardiovascular",7,"Obstruction",2,NA
"360","Amniotic fluid embolus","GE10","1.1.3.30.5","2.1.3.30.5","1.3.30.5",2,"Respiratory",3,"Obstruction",5,NA
"361","Coronary sinus fistula","CA34","1.2.1.8.1","2.2.1.8.1","2.1.8.1",0,"Cardiovascular",1,"Congenital or acquired deformity or abnormality",1,NA
"362","Extrinsic compression of airway by haematoma","RE44","1.1.1.30.1","2.1.1.30.1","1.1.30.1",0,"Respiratory",1,"Obstruction",1,NA
"363","Traumatic rupture or laceration of liver","GA148","1.3.7.38.1","2.3.7.38.1","3.7.38.1",0,"Gastrointestinal",7,"Trauma",1,NA
"364","Small bowel inflammatory masses","GA121","1.3.5.30.6","2.3.5.30.6","3.5.30.6",0,"Gastrointestinal",5,"Obstruction",6,NA
"365","Chromosomal deletion syndromes (partial monosomy)","EN84","1.8.11.54.1","2.8.11.54.1","8.11.54.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",11,"Chromosomal deletion syndromes",1,NA
"366","Transposition of great arteries","CA95","1.1.3.8.3","2.1.3.8.3","1.3.8.3",3,"Respiratory",3,"Congenital or acquired deformity or abnormality",3,NA
"367","Epidural or subdural abscess","NE48","1.1.6.27.1","2.1.6.27.1","1.6.27.1",1,"Respiratory",6,"Infection",1,NA
"368","Excess sodium intake","EN24","1.8.8.18.3","2.8.8.18.3","8.8.18.3",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Hypernatraemia",3,NA
